time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
1262500,83462.870466395,82684.091572267,57962.033674045,64983.050342257,48343.758895081,13463.07912005,299101.11592989
1268750,83214.756980208,82764.640459462,58020.342783458,65145.283588597,48444.052717842,13383.208767344,299027.71470308
1275000,82967.266735419,82843.878050011,58079.859978343,65305.104805517,48544.548835544,13306.02652327,298953.31507189
1281250,82720.378942635,82921.75561646,58140.513670812,65462.596816594,48645.337801589,13222.83609147,298886.58106043
1287500,82474.051895454,82998.168229844,58202.233685111,65617.924364027,48746.553267685,13151.520700434,298809.54785743
1293750,82228.228124938,83072.961512176,58265.031433061,65771.314194687,48848.365240137,13071.288948211,298742.81054678
1300000,81982.839616394,83145.746145946,58329.103132996,65923.022440346,48950.972681216,12999.730777176,298668.58520591
1306250,81737.812758164,83215.847242607,58394.816419426,66073.305894726,49054.595556722,12928.038484209,298595.58364414
1312500,81493.073022284,83282.643576443,58462.493478972,66222.411727306,49159.466418435,12853.797989406,298526.11378714
1318750,81248.549552061,83345.809268295,58532.33371982,66370.580133073,49265.820699692,12788.288243043,298448.618384
1325000,81004.180049109,83404.985365246,58604.756070288,66518.048049638,49373.885108809,12717.375280273,298376.77007663
1331250,80759.916503883,83459.478087156,58680.602150071,66665.043429185,49483.863187051,12651.357558906,298299.73908374
1337500,80515.731597246,83508.228774267,58760.984221767,66811.766224605,49595.917926518,12589.043723921,298218.32753167
1343750,80271.624747134,83549.448418334,58847.276807768,66958.359060512,49710.15231013,12519.87524781,298143.2634083
1350000,80027.626413327,83581.281158889,58940.356589005,67104.878356145,49826.590934973,12463.640154578,298055.62639307
1356250,79783.799513738,83606.767738748,59036.741859287,67251.278475195,49945.16676533,12397.454719752,297978.79092794
1362500,79540.23719877,83625.681043815,59137.111045244,67397.414455472,50065.719107207,12340.467236473,297893.36991301
1368750,79297.056883981,83634.198159646,59245.752729839,67543.059473189,50188.005171276,12282.849704671,297809.07787739
